eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,True,com.kmong.kmong,3.3.5,SM-G570F,samsung,Android7.0,8f8689b4-ef71-4f6f-a9b3-de23527223d2,unattributed,unattributed,,,,category_gig.view,6.0,2018-09-29T03:00:01+09:00,b5bfd5b1-e2f5-4a3e-b395-0a5097bdad14,True,True
goal,True,com.kmong.kmong,3.3.2,SM-N900S,samsung,Android5.0,8cc6185c-ed53-49da-a47e-d1fe8a217c89,unattributed,unattributed,,,,gig_detail.view,60201.0,2018-09-29T03:00:01+09:00,0b3ed8ad-3a34-4e8f-b98f-ffa18c1764cd,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N920L,samsung,Android7.0,1c8c6681-04af-443b-aed9-29d476864698,unattributed,unattributed,,,,home.view,,2018-09-29T03:00:02+09:00,85ed19c8-9a71-470c-ac71-8bea12c2d7f1,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N916K,samsung,Android6.0.1,1c84ee9d-c261-4925-8566-9757075e5a1b,unattributed,unattributed,,,,inbox.view,,2018-09-29T03:00:07+09:00,2fc96a2c-4edb-4707-84f8-86b8684bc23b,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N920L,samsung,Android7.0,1c8c6681-04af-443b-aed9-29d476864698,unattributed,unattributed,,,,bookmarks_gig.view,,2018-09-29T03:00:07+09:00,be3084ae-d364-4339-a96e-9387fa87ad88,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N916K,samsung,Android6.0.1,1c84ee9d-c261-4925-8566-9757075e5a1b,unattributed,unattributed,,,,home.view,,2018-09-29T03:00:08+09:00,21cc99fe-2ab8-462f-b128-bca8c1f8e4fa,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G955N,samsung,Android8.0.0,8cb6d299-c647-4212-9df7-1f3ede8dfc8e,unattributed,unattributed,,,,search_gig.view,,2018-09-29T03:00:12+09:00,e1bcf1e4-95ae-4434-88ad-e5ba874c4d20,False,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,,,2018-09-29T03:00:12+09:00,43acdead-75c1-4d7d-8174-8d2f0220fc30,False,False
goal,True,com.kmong.kmong,3.3.5,SM-N916K,samsung,Android6.0.1,1c84ee9d-c261-4925-8566-9757075e5a1b,unattributed,unattributed,,,,category_gig.view,6.0,2018-09-29T03:00:13+09:00,c741b2da-2627-4e86-907b-a3bcc717f789,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T03:00:15+09:00,b3dc96f7-d728-4b65-8474-1308ee9bfa40,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,seller_selling_history.view,,2018-09-29T03:00:18+09:00,fed96ac4-7bd9-4347-a3b4-71b585f4ea68,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T03:00:20+09:00,65006f18-d97c-4823-9658-5bfaa26bf543,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,seller_selling_history.view,,2018-09-29T03:00:22+09:00,7b1f7a3d-0da3-46a0-a3b3-729fc3ddb910,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,menu.view,,2018-09-29T03:00:23+09:00,198a5bbd-cc09-4e50-940d-468058fde1ab,False,True
background,,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,,,,,,,,2018-09-29T03:00:27+09:00,1eeeb626-429f-4599-8ae0-d1d6e9ef0197,,True
goal,True,com.kmong.kmong,3.3.5,SM-N920L,samsung,Android7.0,1c8c6681-04af-443b-aed9-29d476864698,unattributed,unattributed,,,,gig_detail.view,1101.0,2018-09-29T03:00:28+09:00,d66faf0e-b915-41d7-8abe-86b0b215f01b,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,seller_gig.click,,2018-09-29T03:00:29+09:00,176be200-8341-43ff-a440-6c14bc8143f2,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G955N,samsung,Android8.0.0,8cb6d299-c647-4212-9df7-1f3ede8dfc8e,unattributed,unattributed,,,,gig_detail.view,210.0,2018-09-29T03:00:30+09:00,c1960288-b937-451d-88b0-a789aec8e0d5,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,18D3DA18-2DF2-4E41-AF32-31EF0B0DCDB1,unattributed,unattributed,,,,gig_detail.view,1027.0,2018-09-29T03:00:31+09:00,b41b53ba-4749-4b6c-9096-36001eeae370,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,bed54c62-2c28-45f6-a8aa-88f7c23ff7e7,unattributed,unattributed,,,,category_gig.view,9.0,2018-09-29T03:00:34+09:00,a11848fe-89f1-4bde-a6fc-eeedd72c4f1e,False,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,B4720E6F-CECF-499F-B865-AF2B1FABC936,unattributed,unattributed,,,,,,2018-09-29T03:00:34+09:00,9b9d9e6f-c44a-4f10-9c0f-ad27a2ba6e0f,False,False
goal,False,com.kmong.kmong,3.3.5,SM-N916K,samsung,Android6.0.1,1c84ee9d-c261-4925-8566-9757075e5a1b,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T03:00:35+09:00,e246f555-f7c8-45ec-8fb6-62f31737de27,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.2.6,9A58CC9C-8CD5-4624-9625-E9E0A92E9B2C,,,,,,,,2018-09-29T03:00:36+09:00,5ac7ba1e-20e7-4f01-80a3-c1ffc89a3cde,,True
