eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,07DCBA8A-0FB9-45C8-A9D1-83ED55824C1B,,,,,,,,2018-09-29T20:00:00+09:00,bfe0f6cb-9e49-4077-93c2-e7453e7accaf,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.1.1,A14BAFD0-6064-46E6-8983-35A1C6A432E7,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:00+09:00,bda877bc-f50a-4aa7-8e64-3f11af65bd13,False,True
background,,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,f3c5c9d7-8f05-472d-8e6c-56798c8dfa11,,,,,,,,2018-09-29T20:00:00+09:00,17cf85e0-547d-403a-a4e7-870add06b0f9,,True
exit,,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,8f232dcd-9b20-47ca-8144-eb8f53bb9414,,,,,,,,2018-09-29T20:00:01+09:00,ff61a4dd-dda1-4afb-9eb7-fb6469f4e6b2,,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,329E21D0-26C3-4AEC-A27F-D4BAFBB18877,,,,,,,,2018-09-29T20:00:01+09:00,354f0fb4-d1a6-46ef-9836-1a7668f508fd,,True
goal,False,com.kmong.kmong,3.3.5,SM-G960U,samsung,Android8.0.0,df15f2c5-4d68-44de-ac6c-375238ed97d5,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:01+09:00,952f43cd-16d7-4c24-ab1b-05d682a306e1,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:01+09:00,bd6c1f49-82f3-40cf-9919-6ba2d9402aec,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,fb7a1feb-8553-49be-9f67-f657402283a9,viral,WEB,,,,home.view,,2018-09-29T20:00:03+09:00,e84fd374-3bbc-498f-888d-67c7a3225c9c,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960U,samsung,Android8.0.0,df15f2c5-4d68-44de-ac6c-375238ed97d5,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:00:03+09:00,eee3ffe2-7fca-4bb0-8db8-f672710127be,False,True
goal,False,com.kmong.kmong,3.3.5,LM-G710N,LGE,Android8.0.0,f0d88b9c-cb09-43d9-bdac-db276e9e1961,viral,WEB,,,,home.view,,2018-09-29T20:00:05+09:00,3ed3c069-4eef-4169-b694-7480ec9d2817,False,True
goal,False,com.kmong.kmong,3.3.5,MI 6X,Xiaomi,Android8.1.0,48bc5aca-7f51-457a-be2f-342077ecbca5,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:05+09:00,c928a702-b01d-4fad-9c23-8efcee547407,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,unattributed,unattributed,,,,category_list.view,,2018-09-29T20:00:06+09:00,3123c857-910a-4b9b-8946-1956bd350ca8,False,True
background,,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,fb7a1feb-8553-49be-9f67-f657402283a9,,,,,,,,2018-09-29T20:00:06+09:00,69684b74-28d2-47b0-b8af-ffdce8724fb0,,True
background,,com.kmong.kmong,3.3.5,SM-G960U,samsung,Android8.0.0,df15f2c5-4d68-44de-ac6c-375238ed97d5,,,,,,,,2018-09-29T20:00:06+09:00,773f6926-9d26-4328-b09d-344bca9a9c35,,True
launch,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,d4a630a8-bf3a-484d-b379-9f31305aeee3,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:00:06+09:00,50bf23e9-dd23-4cb3-835f-5bcb884322cf,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.1.1,A14BAFD0-6064-46E6-8983-35A1C6A432E7,,,,,,,,2018-09-29T20:00:07+09:00,2424615b-9620-436e-8654-f81be108fb92,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,unattributed,unattributed,,,,bookmarks_gig.view,,2018-09-29T20:00:07+09:00,f782a6de-24da-4cca-b633-e1c7b05611cc,False,True
launchInSession,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,41F42C82-C478-4EA9-831F-2FD34983ED38,,,,,,,,2018-09-29T20:00:08+09:00,7edbd856-73eb-48e6-bea8-cdd3c25ea060,,False
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,1F6ACA47-BCC0-4629-92A3-E920CC408ABA,unattributed,unattributed,,,,search_gig.view,,2018-09-29T20:00:08+09:00,06182c51-ce17-4d49-a58d-7c104d0843ab,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:00:08+09:00,953b8ed3-37f8-4a81-9e79-f77bfe57ea65,False,True
foreground,,com.kmong.kmong,3.3.5,SM-G960U,samsung,Android8.0.0,df15f2c5-4d68-44de-ac6c-375238ed97d5,,,,,,,,2018-09-29T20:00:08+09:00,c688c807-b64c-4296-85c3-802fb5ca3479,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,unattributed,unattributed,,,,bookmarks_gig.view,,2018-09-29T20:00:09+09:00,04ee7906-5df1-41d1-b602-48cb6d7a8052,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960U,samsung,Android8.0.0,df15f2c5-4d68-44de-ac6c-375238ed97d5,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:00:09+09:00,63873c37-3ca7-4347-bb0d-4f0b12822da9,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G930L,samsung,Android7.0,c4d0a489-c48b-4c9c-b0ab-b17d425128da,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T20:00:09+09:00,8eb10d80-75bc-468b-bcad-fa6191785595,False,True
goal,False,com.kmong.kmong,3.3.5,MI 6X,Xiaomi,Android8.1.0,48bc5aca-7f51-457a-be2f-342077ecbca5,unattributed,unattributed,,,,category_gig.view,1.0,2018-09-29T20:00:10+09:00,19fa2e49-1354-4fc8-b8c4-77cb983f1004,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,41F42C82-C478-4EA9-831F-2FD34983ED38,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:10+09:00,0e9a050f-b855-43a4-8e80-4c01f63195c9,False,True
launch,False,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,980265a7-4623-4c7c-918b-6aaf09382424,unattributed,unattributed,,,,,,2018-09-29T20:00:10+09:00,91ca4cc4-018d-48e3-8eaa-2006a8482f1b,False,False
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,41F42C82-C478-4EA9-831F-2FD34983ED38,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:00:10+09:00,ffb4fa7b-92d0-4917-9847-bb9cf5e13ef3,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,unattributed,unattributed,,,,bookmarks_portfolio.view,,2018-09-29T20:00:10+09:00,392faffe-7834-4ae8-a0e4-1d40b2493a86,True,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,BD4EC872-DF5A-40E9-BDC7-123A074A4DB6,,,,,,,,2018-09-29T20:00:12+09:00,510d7d70-cf9b-46e5-9807-c3bcf19ff7c7,,True
goal,False,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,980265a7-4623-4c7c-918b-6aaf09382424,unattributed,unattributed,,,,category_gig.view,6.0,2018-09-29T20:00:12+09:00,6e1325b2-33a0-4041-9a1c-d1948a9c59d7,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,31A44950-43AE-4D57-AEF5-CBF6D7918937,,,,,,,,2018-09-29T20:00:12+09:00,5a769de2-6d66-46c6-a0fc-d5681fd9bafa,,True
goal,False,com.kmong.kmong,3.3.5,SM-G960U,samsung,Android8.0.0,df15f2c5-4d68-44de-ac6c-375238ed97d5,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T20:00:14+09:00,d8a331f9-e9e3-402b-b602-f6b9f521aa80,False,True
goal,False,com.kmong.kmong,3.3.5,LM-G710N,LGE,Android8.0.0,d30dccd1-3cc4-41c7-ac7e-8ee86be3b104,unattributed,unattributed,,,,inbox.view,,2018-09-29T20:00:14+09:00,cb51f0c1-3d1c-4311-b7cb-2f92a7d08214,False,True
goal,False,com.kmong.kmong,3.3.5,LM-G710N,LGE,Android8.0.0,d30dccd1-3cc4-41c7-ac7e-8ee86be3b104,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:15+09:00,73825ed0-344c-4b12-904b-0ff34d4132c9,False,True
exit,,com.kmong.kmong,3.3.5,LM-G710N,LGE,Android8.0.0,d30dccd1-3cc4-41c7-ac7e-8ee86be3b104,,,,,,,,2018-09-29T20:00:15+09:00,fab61a1d-14cd-4783-b603-34d64d978b7e,,True
goal,True,com.kmong.kmong,3.3.5,SM-G930S,samsung,Android8.0.0,346f5a36-cc60-42b3-b31e-ef949d64c280,app-market,google-play,,organic,,tutorial.view,,2018-09-29T20:00:15+09:00,be444360-c700-40e6-ac22-2670475cfb4c,True,True
launch,False,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,DCA45133-816E-4B4A-9B77-7C9A951D893C,unattributed,unattributed,,,,,,2018-09-29T20:00:16+09:00,0769641c-2f65-4a63-a36a-7b66f9068be2,False,False
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3,BE01B99C-090B-4F71-8F21-4F6AA367060D,,,,,,,,2018-09-29T20:00:16+09:00,8b58b2fc-a9f8-4d94-991a-9f95a60dbd49,,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,1F6ACA47-BCC0-4629-92A3-E920CC408ABA,unattributed,unattributed,,,,gig_detail.view,107.0,2018-09-29T20:00:16+09:00,2ea946e5-1a10-4555-9d30-a1bdebdc34f8,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,980265a7-4623-4c7c-918b-6aaf09382424,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:17+09:00,afb8a937-f956-4654-a3b4-a920fb1a138d,False,True
goal,True,com.kmong.kmong,3.3.5,MI 6X,Xiaomi,Android8.1.0,48bc5aca-7f51-457a-be2f-342077ecbca5,unattributed,unattributed,,,,gig_detail.view,113.0,2018-09-29T20:00:17+09:00,f745d37d-9e2b-43ca-a311-55d99658bc6a,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,1F6ACA47-BCC0-4629-92A3-E920CC408ABA,unattributed,unattributed,,,,gig_detail.view,107.0,2018-09-29T20:00:17+09:00,1e40f087-d53b-4703-ae03-987cd58156c8,False,True
goal,False,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4.1,DCA45133-816E-4B4A-9B77-7C9A951D893C,unattributed,unattributed,,,,home.view,,2018-09-29T20:00:18+09:00,1e9fff9d-91a9-4559-90b0-348d4484e2a0,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,980265a7-4623-4c7c-918b-6aaf09382424,unattributed,unattributed,,,,search.view,,2018-09-29T20:00:19+09:00,78138c04-1e81-48f6-87c0-5097d4e36b88,True,True
