cid,contact,day,month,duration,campaign,pdays,previous,poutcome,y
C00004,,5,may,92,1,-1,0,,no
C00005,,5,may,198,1,-1,0,,no
C00009,,5,may,50,1,-1,0,,no
C00021,,5,may,262,1,-1,0,,no
C00025,,5,may,181,1,-1,0,,no
C00026,,5,may,172,1,-1,0,,no
C00027,,5,may,296,1,-1,0,,no
C00029,,5,may,255,2,-1,0,,no
C00031,,5,may,225,1,-1,0,,no
C00035,,5,may,336,1,-1,0,,no
C00037,,5,may,365,1,-1,0,,no
C00041,,5,may,160,1,-1,0,,no
C00044,,5,may,1492,1,-1,0,,no
C00045,,5,may,616,1,-1,0,,no
C00046,,5,may,242,1,-1,0,,no
C00049,,5,may,160,1,-1,0,,no
C00052,,5,may,253,1,-1,0,,no
C00055,,5,may,145,1,-1,0,,no
C00056,,5,may,174,1,-1,0,,no
C00059,,5,may,185,1,-1,0,,no
C00062,,5,may,812,1,-1,0,,no
C00063,,5,may,164,1,-1,0,,no
C00067,,5,may,528,1,-1,0,,no
C00069,,5,may,158,2,-1,0,,no
C00073,,5,may,154,1,-1,0,,no
C00074,,5,may,291,1,-1,0,,no
C00077,,5,may,211,1,-1,0,,no
C00083,,5,may,20,1,-1,0,,no
C00086,,5,may,529,2,-1,0,,no
C00087,,5,may,1467,1,-1,0,,yes
C00090,,5,may,180,2,-1,0,,no
C00095,,5,may,173,1,-1,0,,no
C00103,,5,may,229,1,-1,0,,no
C00107,,5,may,190,1,-1,0,,no
C00108,,5,may,21,1,-1,0,,no
C00109,,5,may,514,1,-1,0,,no
C00110,,5,may,849,2,-1,0,,no
C00111,,5,may,194,1,-1,0,,no
C00112,,5,may,144,1,-1,0,,no
C00114,,5,may,286,1,-1,0,,no
C00120,,5,may,98,1,-1,0,,no
C00127,,5,may,61,1,-1,0,,no
C00129,,5,may,143,1,-1,0,,no
C00133,,5,may,185,1,-1,0,,no
C00138,,5,may,73,1,-1,0,,no
C00140,,5,may,541,1,-1,0,,no
C00145,,5,may,98,1,-1,0,,no
C00146,,5,may,71,1,-1,0,,no
C00152,,5,may,610,2,-1,0,,no
C00155,,5,may,114,2,-1,0,,no
C00158,,5,may,238,1,-1,0,,no
C00161,,5,may,107,1,-1,0,,no
C00170,,5,may,233,3,-1,0,,no
C00177,,5,may,179,2,-1,0,,no
C00179,,5,may,458,2,-1,0,,no
C00182,,5,may,683,2,-1,0,,no
C00185,,5,may,146,2,-1,0,,no
C00188,,5,may,140,1,-1,0,,no
C00199,,5,may,256,1,-1,0,,no
C00201,,5,may,577,1,-1,0,,no
C00203,,5,may,477,1,-1,0,,no
C00204,,5,may,611,2,-1,0,,no
C00206,,5,may,381,2,-1,0,,no
C00212,,5,may,216,2,-1,0,,no
C00213,,5,may,366,2,-1,0,,no
C00214,,5,may,210,1,-1,0,,no
C00216,,5,may,168,1,-1,0,,no
C00220,,5,may,127,2,-1,0,,no
C00225,,5,may,1419,1,-1,0,,no
C00226,,5,may,125,2,-1,0,,no
C00231,,5,may,18,1,-1,0,,no
C00233,,5,may,746,2,-1,0,,no
C00249,,5,may,282,1,-1,0,,no
C00250,,5,may,714,2,-1,0,,no
C00254,,5,may,227,1,-1,0,,no
C00259,,5,may,350,1,-1,0,,no
C00262,,5,may,113,2,-1,0,,no
C00265,,5,may,151,1,-1,0,,no
C00270,,5,may,463,1,-1,0,,no
C00281,,5,may,621,3,-1,0,,no
C00282,,5,may,55,2,-1,0,,no
C00289,,5,may,286,2,-1,0,,no
C00290,,5,may,164,2,-1,0,,no
C00292,,5,may,742,2,-1,0,,no
C00297,,5,may,200,2,-1,0,,no
C00303,,5,may,248,2,-1,0,,no
C00304,,5,may,215,2,-1,0,,no
C00307,,5,may,83,2,-1,0,,no
C00308,,5,may,106,3,-1,0,,no
C00314,,5,may,214,2,-1,0,,no
C00320,,5,may,386,2,-1,0,,no
C00323,,5,may,224,3,-1,0,,no
C00327,,5,may,231,3,-1,0,,no
C00330,,5,may,240,2,-1,0,,no
C00335,,5,may,313,3,-1,0,,no
C00337,,5,may,146,2,-1,0,,no
C00338,,5,may,152,2,-1,0,,no
C00339,,5,may,402,3,-1,0,,no
C00341,,5,may,144,3,-1,0,,no
C00342,,5,may,124,3,-1,0,,no
C00344,,5,may,325,2,-1,0,,no
C00347,,5,may,95,4,-1,0,,no
C00354,,5,may,195,2,-1,0,,no
C00357,,5,may,404,4,-1,0,,no
C00359,,5,may,216,4,-1,0,,no
C00361,,5,may,350,2,-1,0,,no
C00362,,6,may,114,2,-1,0,,no
C00363,,6,may,88,3,-1,0,,no
C00364,,6,may,379,2,-1,0,,no
C00378,,6,may,235,1,-1,0,,no
C00381,,6,may,133,1,-1,0,,no
C00386,,6,may,85,1,-1,0,,no
C00387,,6,may,125,1,-1,0,,no
C00389,,6,may,1201,1,-1,0,,yes
C00399,,6,may,199,1,-1,0,,no
C00402,,6,may,424,1,-1,0,,no
C00403,,6,may,43,1,-1,0,,no
C00404,,6,may,154,1,-1,0,,no
C00406,,6,may,326,1,-1,0,,no
C00407,,6,may,393,1,-1,0,,no
C00411,,6,may,227,1,-1,0,,no
C00414,,6,may,180,2,-1,0,,no
C00419,,6,may,186,1,-1,0,,no
C00425,,6,may,185,3,-1,0,,no
C00435,,6,may,198,2,-1,0,,no
C00437,,6,may,241,1,-1,0,,no
C00440,,6,may,149,1,-1,0,,no
C00445,,6,may,140,1,-1,0,,no
C00446,,6,may,136,1,-1,0,,no
C00450,,6,may,238,1,-1,0,,no
C00452,,6,may,79,1,-1,0,,no
C00459,,6,may,243,1,-1,0,,no
C00460,,6,may,145,2,-1,0,,no
C00463,,6,may,124,1,-1,0,,no
C00466,,6,may,204,4,-1,0,,no
C00478,,6,may,82,1,-1,0,,no
C00485,,6,may,30,2,-1,0,,no
C00487,,6,may,448,1,-1,0,,no
C00488,,6,may,264,1,-1,0,,no
C00492,,6,may,215,1,-1,0,,no
C00493,,6,may,337,1,-1,0,,no
C00494,,6,may,278,1,-1,0,,no
C00495,,6,may,188,2,-1,0,,no
C00498,,6,may,190,1,-1,0,,no
C00499,,6,may,111,2,-1,0,,no
C00500,,6,may,164,1,-1,0,,no
C00502,,6,may,46,1,-1,0,,no
C00503,,6,may,374,1,-1,0,,no
C00506,,6,may,233,2,-1,0,,no
C00508,,6,may,153,1,-1,0,,no
C00512,,6,may,190,1,-1,0,,no
C00514,,6,may,238,1,-1,0,,no
C00515,,6,may,82,1,-1,0,,no
C00523,,6,may,128,1,-1,0,,no
C00524,,6,may,211,1,-1,0,,no
C00531,,6,may,158,1,-1,0,,no
C00535,,6,may,247,1,-1,0,,no
C00537,,6,may,73,1,-1,0,,no
C00541,,6,may,416,1,-1,0,,no
C00542,,6,may,162,1,-1,0,,no
C00544,,6,may,150,1,-1,0,,no
C00545,,6,may,43,1,-1,0,,no
C00549,,6,may,146,1,-1,0,,no
C00550,,6,may,416,1,-1,0,,no
C00553,,6,may,289,1,-1,0,,no
C00555,,6,may,123,1,-1,0,,no
C00556,,6,may,130,2,-1,0,,no
C00567,,6,may,440,1,-1,0,,no
C00569,,6,may,195,1,-1,0,,no
C00572,,6,may,427,1,-1,0,,no
C00573,,6,may,189,1,-1,0,,no
C00577,,6,may,69,1,-1,0,,no
C00581,,6,may,96,2,-1,0,,no
C00585,,6,may,76,4,-1,0,,no
C00590,,6,may,112,2,-1,0,,no
C00594,,6,may,315,1,-1,0,,no
C00596,,6,may,174,2,-1,0,,no
C00597,,6,may,138,3,-1,0,,no
C00599,,6,may,135,1,-1,0,,no
C00603,,6,may,147,2,-1,0,,no
C00606,,6,may,209,1,-1,0,,no
C00610,,6,may,144,1,-1,0,,no
C00611,,6,may,65,1,-1,0,,no
C00612,,6,may,339,1,-1,0,,no
C00615,,6,may,168,1,-1,0,,no
C00617,,6,may,389,1,-1,0,,no
C00618,,6,may,158,1,-1,0,,no
C00624,,6,may,289,1,-1,0,,no
C00625,,6,may,703,1,-1,0,,yes
C00633,,6,may,230,1,-1,0,,no
C00634,,6,may,262,3,-1,0,,no
C00639,,6,may,235,4,-1,0,,no
C00640,,6,may,235,2,-1,0,,no
C00644,,6,may,293,1,-1,0,,no
C00653,,6,may,312,3,-1,0,,no
C00656,,6,may,191,1,-1,0,,no
C00659,,6,may,328,1,-1,0,,no
C00664,,6,may,684,2,-1,0,,no
C00668,,6,may,322,2,-1,0,,no
C00673,,6,may,260,3,-1,0,,no
C00679,,6,may,320,1,-1,0,,no
C00681,,6,may,245,2,-1,0,,no
C00685,,6,may,65,3,-1,0,,no
C00688,,6,may,197,2,-1,0,,no
C00691,,6,may,75,2,-1,0,,no
C00696,,6,may,346,2,-1,0,,no
C00701,,6,may,390,2,-1,0,,no
C00704,,6,may,125,2,-1,0,,no
C00705,,6,may,234,2,-1,0,,no
C00711,,6,may,144,2,-1,0,,no
C00717,,6,may,593,2,-1,0,,no
C00720,,6,may,285,2,-1,0,,no
C00721,,6,may,190,3,-1,0,,no
C00722,,6,may,172,5,-1,0,,no
C00723,,6,may,213,3,-1,0,,no
C00724,,6,may,178,2,-1,0,,no
C00725,,6,may,174,2,-1,0,,no
C00730,,6,may,254,2,-1,0,,no
C00733,,6,may,112,4,-1,0,,no
C00734,,6,may,314,3,-1,0,,no
C00739,,6,may,42,3,-1,0,,no
C00740,,6,may,55,2,-1,0,,no
C00741,,6,may,155,2,-1,0,,no
C00749,,6,may,128,2,-1,0,,no
C00754,,6,may,343,3,-1,0,,no
C00756,,6,may,59,3,-1,0,,no
C00760,,6,may,183,5,-1,0,,no
C00761,,6,may,190,3,-1,0,,no
C00763,,6,may,153,3,-1,0,,no
C00764,,6,may,95,2,-1,0,,no
C00766,,6,may,216,2,-1,0,,no
C00767,,7,may,89,2,-1,0,,no
C00770,,7,may,148,3,-1,0,,no
C00771,,7,may,132,3,-1,0,,no
C00774,,7,may,124,2,-1,0,,no
C00775,,7,may,118,3,-1,0,,no
C00776,,7,may,479,2,-1,0,,no
C00781,,7,may,172,8,-1,0,,no
C00783,,7,may,216,3,-1,0,,no
C00787,,7,may,188,2,-1,0,,no
C00789,,7,may,141,3,-1,0,,no
C00791,,7,may,395,2,-1,0,,no
C00795,,7,may,241,1,-1,0,,no
C00796,,7,may,131,3,-1,0,,no
C00799,,7,may,120,2,-1,0,,no
C00810,,7,may,32,1,-1,0,,no
C00811,,7,may,162,1,-1,0,,no
C00816,,7,may,923,3,-1,0,,no
C00832,,7,may,158,1,-1,0,,no
C00833,,7,may,250,1,-1,0,,no
C00836,,7,may,171,1,-1,0,,no
C00841,,7,may,293,3,-1,0,,no
