"cid","age","job","marital","education","default","balance","housing","loan"
"C00004",47,"blue-collar","married","","no",1506,"yes","no"
"C00005",33,"","single","","no",1,"no","no"
"C00009",58,"retired","married","1","no",121,"yes","no"
"C00021",28,"blue-collar","married","2","no",723,"yes","yes"
"C00025",40,"retired","married","1","no",0,"yes","yes"
"C00026",44,"admin.","married","2","no",-372,"yes","no"
"C00027",39,"management","single","3","no",255,"yes","no"
"C00029",46,"management","single","2","no",-246,"yes","no"
"C00031",57,"technician","married","2","no",839,"no","yes"
"C00035",51,"management","married","3","no",10635,"yes","no"
"C00037",25,"blue-collar","married","2","no",-7,"yes","no"
"C00041",44,"services","divorced","2","no",2586,"yes","no"
"C00044",54,"retired","married","2","no",529,"yes","no"
"C00045",58,"retired","married","","no",96,"yes","no"
"C00046",36,"admin.","single","1","no",-171,"yes","no"
"C00049",55,"technician","divorced","2","no",0,"no","no"
"C00052",48,"management","divorced","3","no",-244,"yes","no"
"C00055",24,"technician","single","2","no",-103,"yes","yes"
"C00056",38,"entrepreneur","single","3","no",243,"no","yes"
"C00059",40,"blue-collar","single","","no",24,"yes","no"
"C00062",53,"technician","divorced","2","no",989,"yes","no"
"C00063",57,"blue-collar","married","1","no",249,"yes","no"
"C00067",60,"retired","married","3","no",100,"no","no"
"C00069",55,"technician","married","2","no",1205,"yes","no"
"C00073",54,"management","married","2","no",282,"yes","yes"
"C00074",55,"blue-collar","married","1","no",23,"yes","no"
"C00077",44,"blue-collar","married","2","no",582,"no","yes"
"C00083",42,"technician","single","2","no",690,"yes","no"
"C00086",51,"blue-collar","married","1","no",173,"yes","no"
"C00087",56,"admin.","married","2","no",45,"no","no"
"C00090",57,"retired","married","2","no",486,"yes","no"
"C00095",57,"entrepreneur","divorced","2","no",-37,"no","no"
"C00103",52,"blue-collar","married","1","no",128,"yes","no"
"C00107",47,"technician","married","3","no",151,"yes","no"
"C00108",34,"admin.","married","2","no",61,"no","yes"
"C00109",59,"retired","single","2","no",30,"yes","no"
"C00110",45,"management","married","3","no",523,"yes","no"
"C00111",29,"services","divorced","2","no",31,"yes","no"
"C00112",46,"technician","divorced","2","no",79,"no","no"
"C00114",36,"blue-collar","married","1","no",448,"yes","no"
"C00120",57,"technician","married","1","no",0,"no","no"
"C00127",29,"admin.","single","2","no",818,"yes","yes"
"C00129",31,"blue-collar","married","2","no",0,"yes","no"
"C00133",38,"technician","single","2","no",1685,"yes","no"
"C00138",43,"services","single","","no",0,"no","no"
