location,murder,robbery,forcible_rape,thief,violence
중  부,0,0,1,44,42
종  로,0,3,4,34,57
남대문,0,0,0,43,4
서대문,0,4,5,142,103
혜  화,0,2,2,38,29
용  산,0,4,4,56,70
성  북,0,1,5,69,99
동대문,1,1,5,126,76
마  포,0,0,13,156,164
영등포,0,0,6,119,118
성  동,0,0,11,105,73
동  작,1,3,6,107,65
광  진,0,0,29,155,153
서  부,0,0,4,120,131
강  북,0,0,9,166,210
금  천,0,0,7,146,66
중  랑,1,0,9,179,193
강  남,0,0,9,67,37
관  악,0,2,14,170,209
강  서,0,3,9,273,240
강  동,0,3,6,193,158
종  암,0,5,6,59,40
구  로,0,1,3,157,194
서  초,0,1,7,39,66
양  천,0,0,8,169,144
송  파,0,6,8,196,165
노  원,0,6,14,227,337
방  배,0,0,0,32,9
은  평,0,0,8,99,121
도  봉,0,6,21,126,107
수  서,0,6,10,73,139
