region,pub,karaoke,tot_nightlife,murder,robbery,forcible_rape,thef,violence,murder_tot,robbery_Tot,forcible_rape_Tot,thef_tot,violence_Tot
강남,283,354,637,0,0,9,67,37,3,15,300,2411,2465
강동,146,106,252,0,3,6,193,158,4,6,156,2366,2712
강북,79,128,207,0,0,9,166,210,7,14,153,1434,2649
강서,113,167,280,0,3,9,273,240,7,13,262,2096,3207
관악,223,99,322,0,2,14,170,209,9,12,320,2706,3298
광진,19,91,110,0,0,29,155,153,4,14,240,3026,2625
구로,38,110,148,0,1,3,157,194,8,15,281,2335,3007
금천,60,82,142,0,0,7,146,66,3,6,151,1567,2054
노원,30,57,87,0,6,14,227,337,10,7,197,2193,2723
도봉,21,55,76,0,6,21,126,107,3,9,102,1063,1487
동대문,88,115,203,1,1,5,126,76,5,9,285,1865,1910
동작,55,55,110,1,3,6,107,65,5,13,173,1981,2548
마포,71,104,175,0,0,13,156,164,8,14,294,2555,2983
서대문,48,81,129,0,4,5,142,103,7,8,334,1982,1852
서초,88,120,208,0,1,7,39,66,2,2,70,819,1192
성동,22,52,74,0,0,11,105,73,4,9,126,1607,1612
성북,8,79,87,0,1,5,69,99,2,2,86,953,1194
송파,97,181,278,0,6,8,196,165,11,13,220,3239,3295
양천,7,81,88,0,0,8,169,144,3,6,120,1890,2509
영등포,200,293,493,0,0,6,119,118,14,22,295,2964,3572
용산,38,129,167,0,4,4,56,70,5,14,194,1557,2050
은평,79,153,232,0,0,8,99,121,1,7,96,1095,1461
종로,229,140,369,0,3,4,34,57,3,6,115,1070,1278
중구,260,105,365,0,2,3,82,71,5,8,201,2509,2370
중랑,27,105,132,1,0,9,179,193,13,11,187,2135,2847
