기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019.2/4	합계	계	10,041,574	320,002	370,294	378,608	469,495	696,658	838,451	756,342	828,423	745,171	873,171	803,440	808,027	701,928	482,760	380,039	293,639	173,041	77,636	29,533	8,803	6,113
2019.2/4	합계	한국인	9,757,144	312,394	363,670	374,685	461,918	653,815	805,908	725,932	804,503	725,042	848,577	774,325	774,102	687,510	478,757	378,632	292,990	172,628	77,436	29,454	8,775	6,091
2019.2/4	합계	등록외국인	284,430	7,608	6,624	3,923	7,577	42,843	32,543	30,410	23,920	20,129	24,594	29,115	33,925	14,418	4,003	1,407	649	413	200	79	28	22
2019.2/4	종로구	계	162,413	3,841	4,824	5,349	7,444	14,542	14,003	11,173	11,294	10,583	13,868	13,293	13,601	11,443	7,875	6,691	5,925	3,687	1,755	702	276	244
2019.2/4	종로구	한국인	152,026	3,706	4,657	5,228	6,857	10,982	12,571	10,311	10,601	10,010	13,336	12,740	12,971	11,113	7,756	6,641	5,906	3,674	1,746	700	276	244
2019.2/4	종로구	등록외국인	10,387	135	167	121	587	3,560	1,432	862	693	573	532	553	630	330	119	50	19	13	9	2	-	-
2019.2/4	중구	계	136,276	4,083	3,962	3,366	4,699	9,811	11,975	11,166	11,389	9,394	10,780	10,949	11,680	10,273	7,002	5,570	4,778	2,954	1,484	580	194	187
2019.2/4	중구	한국인	126,143	3,792	3,715	3,191	4,338	7,766	10,612	10,114	10,574	8,695	10,078	10,201	10,801	9,816	6,848	5,516	4,729	2,929	1,471	578	192	187
2019.2/4	중구	등록외국인	10,133	291	247	175	361	2,045	1,363	1,052	815	699	702	748	879	457	154	54	49	25	13	2	2	-
2019.2/4	용산구	계	245,069	7,555	8,263	8,053	9,804	15,226	20,598	20,462	21,902	18,354	21,408	19,405	19,162	16,618	11,213	9,166	8,052	5,430	2,572	1,089	387	350
2019.2/4	용산구	한국인	229,122	6,965	7,466	7,470	9,340	13,909	18,863	18,390	19,847	16,610	19,981	18,243	18,169	16,084	10,951	9,061	7,989	5,401	2,568	1,083	384	348
2019.2/4	용산구	등록외국인	15,947	590	797	583	464	1,317	1,735	2,072	2,055	1,744	1,427	1,162	993	534	262	105	63	29	4	6	3	2
2019.2/4	성동구	계	312,991	11,767	11,018	9,940	12,771	22,766	26,975	25,523	27,941	23,092	26,209	25,059	25,296	21,264	13,992	11,106	9,171	5,444	2,335	824	259	239
2019.2/4	성동구	한국인	304,936	11,582	10,873	9,873	12,541	20,845	25,783	24,640	27,340	22,610	25,658	24,414	24,611	20,948	13,895	11,080	9,160	5,437	2,331	822	257	236
2019.2/4	성동구	등록외국인	8,055	185	145	67	230	1,921	1,192	883	601	482	551	645	685	316	97	26	11	7	4	2	2	3
2019.2/4	광진구	계	369,470	10,839	12,247	12,756	16,419	30,234	37,093	31,246	30,674	26,234	30,919	29,686	29,781	24,569	15,751	12,265	9,487	5,532	2,383	890	269	196
2019.2/4	광진구	한국인	353,878	10,463	11,900	12,604	15,728	26,711	35,060	29,782	29,643	25,445	29,863	28,266	27,985	23,883	15,601	12,226	9,473	5,516	2,377	889	267	196
2019.2/4	광진구	등록외국인	15,592	376	347	152	691	3,523	2,033	1,464	1,031	789	1,056	1,420	1,796	686	150	39	14	16	6	1	2	-
2019.2/4	동대문구	계	363,101	10,976	11,862	11,411	15,583	32,654	32,025	25,602	28,460	25,117	28,874	27,832	28,630	25,997	18,378	15,005	12,575	7,276	3,104	1,100	375	265
2019.2/4	동대문구	한국인	346,501	10,742	11,706	11,298	14,724	25,692	28,943	24,272	27,703	24,566	28,270	27,150	27,869	25,675	18,270	14,967	12,561	7,260	3,096	1,097	375	265
2019.2/4	동대문구	등록외국인	16,600	234	156	113	859	6,962	3,082	1,330	757	551	604	682	761	322	108	38	14	16	8	3	-	-
2019.2/4	중랑구	계	405,639	12,475	13,394	12,913	16,800	25,927	32,118	29,595	32,505	27,570	33,637	35,188	37,667	32,180	21,787	16,865	13,037	7,273	3,088	1,121	318	181
2019.2/4	중랑구	한국인	400,661	12,299	13,250	12,817	16,698	25,474	31,498	28,878	31,994	27,195	33,190	34,707	37,146	31,941	21,728	16,839	13,032	7,271	3,084	1,121	318	181
2019.2/4	중랑구	등록외국인	4,978	176	144	96	102	453	620	717	511	375	447	481	521	239	59	26	5	2	4	-	-	-
2019.2/4	성북구	계	452,292	13,980	17,429	17,933	22,712	36,620	35,543	29,334	34,500	33,061	40,838	35,660	34,685	30,656	21,544	17,752	15,071	9,023	3,794	1,403	400	354
2019.2/4	성북구	한국인	440,397	13,795	17,281	17,826	22,040	31,790	33,481	28,186	33,824	32,597	40,400	35,230	34,296	30,469	21,467	17,721	15,044	9,010	3,785	1,403	399	353
2019.2/4	성북구	등록외국인	11,895	185	148	107	672	4,830	2,062	1,148	676	464	438	430	389	187	77	31	27	13	9	-	1	1
2019.2/4	강북구	계	319,377	8,127	10,038	10,549	14,060	21,180	23,377	19,694	23,172	22,293	27,796	26,776	27,863	25,263	18,291	15,956	13,276	7,287	2,793	1,041	315	230
2019.2/4	강북구	한국인	315,587	8,042	9,971	10,526	13,986	20,603	22,828	19,195	22,808	22,027	27,521	26,440	27,474	25,084	18,238	15,927	13,265	7,282	2,789	1,039	314	228
2019.2/4	강북구	등록외국인	3,790	85	67	23	74	577	549	499	364	266	275	336	389	179	53	29	11	5	4	2	1	2
2019.2/4	도봉구	계	339,001	9,725	11,800	12,223	16,476	22,442	23,835	20,623	24,557	22,959	29,490	29,073	30,513	27,918	18,495	14,549	12,174	7,126	3,349	1,200	323	151
2019.2/4	도봉구	한국인	336,698	9,666	11,763	12,195	16,435	22,103	23,473	20,268	24,319	22,774	29,288	28,896	30,354	27,849	18,467	14,534	12,169	7,124	3,348	1,199	323	151
2019.2/4	도봉구	등록외국인	2,303	59	37	28	41	339	362	355	238	185	202	177	159	69	28	15	5	2	1	1	-	-
2019.2/4	노원구	계	542,603	16,263	20,753	25,241	33,595	41,209	36,355	31,448	38,618	39,995	52,085	46,206	43,734	38,055	25,646	19,731	16,179	10,247	4,838	1,667	478	260
2019.2/4	노원구	한국인	538,350	16,195	20,697	25,213	33,429	39,941	35,659	30,946	38,292	39,720	51,842	45,964	43,520	37,957	25,608	19,715	16,169	10,242	4,838	1,666	478	259
2019.2/4	노원구	등록외국인	4,253	68	56	28	166	1,268	696	502	326	275	243	242	214	98	38	16	10	5	-	1	-	1
2019.2/4	은평구	계	488,285	15,311	17,665	18,556	23,531	30,932	36,037	32,758	39,662	36,513	43,542	39,324	39,826	35,346	25,136	20,769	17,048	9,964	4,034	1,513	432	386
2019.2/4	은평구	한국인	483,730	15,204	17,569	18,490	23,345	30,606	35,509	32,118	39,126	36,121	43,136	38,921	39,389	35,094	25,052	20,725	17,022	9,949	4,026	1,510	432	386
2019.2/4	은평구	등록외국인	4,555	107	96	66	186	326	528	640	536	392	406	403	437	252	84	44	26	15	8	3	-	-
2019.2/4	서대문구	계	324,304	10,011	11,187	11,093	15,019	27,411	28,748	22,570	24,676	22,489	27,379	25,425	25,064	21,865	15,038	13,035	11,309	7,250	3,005	1,116	349	265
2019.2/4	서대문구	한국인	311,215	9,884	11,015	10,930	14,316	22,800	26,163	21,400	23,957	21,975	26,841	24,979	24,530	21,497	14,851	12,914	11,258	7,207	2,981	1,109	345	263
2019.2/4	서대문구	등록외국인	13,089	127	172	163	703	4,611	2,585	1,170	719	514	538	446	534	368	187	121	51	43	24	7	4	2
2019.2/4	마포구	계	385,985	13,419	13,947	14,301	16,678	28,653	36,939	33,452	34,864	30,516	33,718	28,488	26,802	22,595	15,354	13,150	11,194	6,952	3,200	1,095	352	316
2019.2/4	마포구	한국인	374,422	13,240	13,772	14,141	16,209	25,766	34,647	32,179	33,875	29,807	33,155	27,899	26,202	22,251	15,181	13,073	11,150	6,934	3,187	1,090	350	314
2019.2/4	마포구	등록외국인	11,563	179	175	160	469	2,887	2,292	1,273	989	709	563	589	600	344	173	77	44	18	13	5	2	2
2019.2/4	양천구	계	465,095	14,010	20,196	24,597	28,858	31,223	30,969	27,752	34,544	36,481	45,743	40,978	38,097	31,916	21,501	15,520	11,013	6,671	3,292	1,227	339	168
2019.2/4	양천구	한국인	461,051	13,913	20,101	24,534	28,813	31,021	30,573	27,227	34,116	36,082	45,306	40,475	37,588	31,689	21,439	15,488	11,003	6,664	3,287	1,227	338	167
2019.2/4	양천구	등록외국인	4,044	97	95	63	45	202	396	525	428	399	437	503	509	227	62	32	10	7	5	-	1	1
2019.2/4	강서구	계	602,230	22,108	23,622	22,097	26,537	36,796	51,874	51,150	55,638	46,020	49,032	44,262	47,737	43,392	29,337	21,595	15,058	9,073	4,451	1,769	464	218
2019.2/4	강서구	한국인	595,602	21,851	23,478	22,027	26,467	36,534	51,241	50,233	54,876	45,428	48,371	43,534	46,869	42,977	29,194	21,543	15,026	9,060	4,443	1,768	464	218
2019.2/4	강서구	등록외국인	6,628	257	144	70	70	262	633	917	762	592	661	728	868	415	143	52	32	13	8	1	-	-
2019.2/4	구로구	계	439,328	15,641	17,107	15,160	17,715	25,363	32,901	33,484	37,987	33,551	37,712	36,501	39,340	32,838	22,657	17,232	12,502	7,233	2,914	1,038	294	158
2019.2/4	구로구	한국인	405,415	14,475	16,190	14,719	17,381	24,403	31,064	30,111	34,968	30,753	33,654	31,289	32,968	30,280	22,076	17,076	12,447	7,183	2,900	1,027	293	158
2019.2/4	구로구	등록외국인	33,913	1,166	917	441	334	960	1,837	3,373	3,019	2,798	4,058	5,212	6,372	2,558	581	156	55	50	14	11	1	-
2019.2/4	금천구	계	254,061	7,767	7,832	7,320	9,455	15,530	22,096	19,868	19,944	17,257	21,738	23,526	25,429	19,572	12,858	9,801	7,447	3,962	1,748	576	175	160
2019.2/4	금천구	한국인	234,079	6,984	7,239	7,060	9,312	15,128	21,099	17,938	18,249	15,600	19,192	20,234	21,587	18,206	12,534	9,710	7,419	3,948	1,735	573	173	159
2019.2/4	금천구	등록외국인	19,982	783	593	260	143	402	997	1,930	1,695	1,657	2,546	3,292	3,842	1,366	324	91	28	14	13	3	2	1
2019.2/4	영등포구	계	404,229	14,589	13,571	11,984	14,514	23,026	35,987	36,873	35,881	29,414	33,889	33,419	35,675	28,516	18,752	14,756	11,483	7,142	3,065	1,103	326	264
2019.2/4	영등포구	한국인	369,017	13,384	12,601	11,432	14,161	22,212	34,260	33,466	32,922	26,581	29,563	27,830	28,859	25,790	18,152	14,588	11,411	7,092	3,041	1,089	320	263
