inst_id,OC
2,0.8
5,0.8
6,0.6
8,0.8
10,0.9
12,1.0
13,1.0
20,1.0
21,0.7
23,1.0
24,0.7
28,1.0
29,1.0
30,0.8
31,0.8
32,1.0
40,1.0
41,1.0
43,1.0
46,0.9
48,1.0
54,1.0
64,0.1
66,0.7
68,1.0
76,1.0
78,1.0
79,0.9
80,0.9
85,1.0
86,1.0
88,1.0
90,1.0
102,1.0
103,1.0
111,1.0
114,1.0
117,1.0
121,1.0
122,1.0
123,0.7
124,1.0
126,1.0
130,1.0
131,0.8
133,0.7
142,1.0
146,0.9
151,0.7
157,1.0
158,1.0
161,0.9
165,0.6
167,1.0
172,1.0
174,1.0
181,1.0
184,0.9
185,1.0
186,1.0
188,1.0
193,1.0
198,1.0
199,1.0
201,1.0
206,1.0
207,1.0
210,1.0
212,1.0
213,1.0
219,1.0
220,0.9
221,0.9
222,1.0
223,1.0
224,1.0
225,1.0
228,1.0
229,0.6
239,1.0
241,1.0
243,1.0
246,0.8
254,1.0
258,0.6
260,1.0
282,1.0
292,1.0
293,0.7
294,1.0
299,0.8
301,1.0
307,1.0
310,0.9
326,1.0
330,1.0
334,1.0
336,1.0
337,1.0
341,0.4
343,1.0
348,1.0
368,1.0
370,1.0
374,1.0
377,1.0
380,1.0
382,0.9
387,1.0
388,0.8
389,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
401,1.0
403,1.0
404,1.0
410,1.0
413,0.4
421,1.0
424,0.3
425,0.7
429,0.7
430,0.9
431,0.6
