depth,categoryid,categoryname,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
1,1,디자인,1,,,디자인,,
1,2,마케팅,2,,,마케팅,,
1,3,번역·통역,3,,,번역·통역,,
1,4,문서작성,4,,,문서작성,,
1,6,IT·프로그래밍,6,,,IT·프로그래밍,,
1,7,콘텐츠 제작,7,,,콘텐츠 제작,,
1,9,상담·컨설팅,9,,,상담·컨설팅,,
1,10,레슨,10,,,레슨,,
1,11,핸드메이드,11,,,핸드메이드,,
1,9901,크몽 인쇄소,99,,,특별 카테고리,,
2,101,로고디자인,1,101.0,,디자인,로고디자인,
2,102,웹·모바일 디자인,1,102.0,,디자인,웹·모바일 디자인,
2,103,캘리그라피,1,103.0,,디자인,캘리그라피,
2,104,포토샵편집,1,104.0,,디자인,포토샵편집,
2,105,일러스트·삽화,1,105.0,,디자인,일러스트·삽화,
2,106,PPT·인포그래픽,1,106.0,,디자인,PPT·인포그래픽,
2,107,명함·인쇄물,1,107.0,,디자인,명함·인쇄물,
2,108,3D 모델링·도면,1,108.0,,디자인,3D 모델링·도면,
2,109,현수막·POP,1,109.0,,디자인,현수막·POP,
2,111,웹툰·캐릭터,1,111.0,,디자인,웹툰·캐릭터,
2,112,SNS·커뮤니티,1,112.0,,디자인,SNS·커뮤니티,
2,113,배너·상세페이지,1,113.0,,디자인,배너·상세페이지,
2,114,의류디자인,1,114.0,,디자인,의류디자인,
2,117,기타,1,117.0,,디자인,기타,
2,118,패키지·북커버,1,118.0,,디자인,패키지·북커버,
2,120,캐리커쳐·인물,1,120.0,,디자인,캐리커쳐·인물,
2,514,공간·인테리어,1,514.0,,디자인,공간·인테리어,
2,202,앱·지도평가,2,202.0,,마케팅,앱·지도평가,
2,203,SNS 마케팅,2,203.0,,마케팅,SNS 마케팅,
2,204,검색최적화·SEO,2,204.0,,마케팅,검색최적화·SEO,
2,205,오프라인광고,2,205.0,,마케팅,오프라인광고,
2,210,기타,2,210.0,,마케팅,기타,
2,211,해외마케팅,2,211.0,,마케팅,해외마케팅,
2,212,키워드광고,2,212.0,,마케팅,키워드광고,
2,213,영상·PPL,2,213.0,,마케팅,영상·PPL,
2,215,마케팅 컨설팅,2,215.0,,마케팅,마케팅 컨설팅,
2,216,언론홍보,2,216.0,,마케팅,언론홍보,
2,217,카페·블로그,2,217.0,,마케팅,카페·블로그,
2,218,체험단·바이럴마케팅,2,218.0,,마케팅,체험단·바이럴마케팅,
2,219,쇼핑몰,2,219.0,,마케팅,쇼핑몰,
2,220,이메일·메시지,2,220.0,,마케팅,이메일·메시지,
2,222,상위노출·검색작업,2,222.0,,마케팅,상위노출·검색작업,
2,227,배너노출광고,2,227.0,,마케팅,배너노출광고,
2,228,인플루언서,2,228.0,,마케팅,인플루언서,
2,301,번역,3,301.0,,번역·통역,번역,
2,303,통역,3,303.0,,번역·통역,통역,
2,401,사업계획서·제안서,4,401.0,,문서작성,사업계획서·제안서,
2,402,학문·논설,4,402.0,,문서작성,학문·논설,
2,404,보고서·리포트,4,404.0,,문서작성,보고서·리포트,
2,406,카피라이팅,4,406.0,,문서작성,카피라이팅,
2,408,글작성·창작·대본,4,408.0,,문서작성,글작성·창작·대본,
2,409,타이핑,4,409.0,,문서작성,타이핑,
2,410,기타,4,410.0,,문서작성,기타,
2,412,자기소개서·이력서,4,412.0,,문서작성,자기소개서·이력서,
2,416,문서서식·폼,4,416.0,,문서작성,문서서식·폼,
2,417,교정·교열·편집,4,417.0,,문서작성,교정·교열·편집,
2,419,리서치·자료수집,4,419.0,,문서작성,리서치·자료수집,
2,601,웹사이트 개발,6,601.0,,IT·프로그래밍,웹사이트 개발,
2,602,모바일앱·웹,6,602.0,,IT·프로그래밍,모바일앱·웹,
2,603,워드프레스,6,603.0,,IT·프로그래밍,워드프레스,
2,605,프로그램 개발,6,605.0,,IT·프로그래밍,프로그램 개발,
2,606,쇼핑몰·커머스,6,606.0,,IT·프로그래밍,쇼핑몰·커머스,
2,609,기타,6,609.0,,IT·프로그래밍,기타,
2,610,서버 및 기술지원,6,610.0,,IT·프로그래밍,서버 및 기술지원,
2,611,파일변환,6,611.0,,IT·프로그래밍,파일변환,
2,612,데이터베이스,6,612.0,,IT·프로그래밍,데이터베이스,
